tid,tfopwg_disp
50365310,
88863718,
124709665,
106997505,
238597883,
169904935,
156115721,
65212867,
440801822,
107782586,
231663901,CP
139853601,
114018671,
427508467,
97700520,
96246348,
155044736,
175310067,
182943944,
291555748,
341420329,
149603524,CP
140706664,
143994283,
47384844,
238374636,
141482386,
297967252,
388624270,
20318757,
447283466,
374908020,
336732616,CP
464296022,
304021498,
146589986,
149601557,
400595342,
361413119,
146172354,
363260203,
90544017,
461867584,
231670397,CP
310483807,
385624852,
360286627,
90448944,
463402815,
54044474,FP
309787037,
370745311,
384549882,
16288184,
144065872,CP
66818296,
38846515,CP
92352620,CP
289793076,CP
29344935,CP
281459670,CP
355703913,CP
388104525,CP
97409519,CP
25155310,CP
281541555,CP
238176110,CP
322307342,CP
266980320,CP
278683844,
278683844,
394137592,CP
207081058,FP
231702397,
290131778,CP
29831208,FP
52368076,CP
52368076,CP
52368076,
70440470,CP
234523599,CP
391949880,
201248411,
263003176,
235037761,FP
89020549,
219338557,
234994474,
267263253,CP
410153553,CP
176957796,FP
277683130,FP
62483237,
140068425,
403224672,CP
425934411,
25375553,CP
261136679,CP
265612438,
355636844,
220435095,
393940766,
260985861,
271893367,
382302241,PC
403287048,FP
231081369,FP
389525208,FP
129637892,
220518305,FP
140691463,
403136413,
394657039,
253917293,FP
348770361,
99493790,FP
179317684,
79395355,FP
350743714,FP
147203645,
149990841,
369457671,
183120439,
394698182,
309257814,
309257814,
29857954,CP
270341214,
425997655,CP
425997655,CP
425997655,
425997655,
307210830,CP
307210830,CP
307210830,CP
272086159,
262530407,
251848941,
251848941,
251848941,
207141131,
51912829,FP
76923707,PC
76989773,FP
183979262,
300871545,FP
100100827,CP
279741379,CP
260304296,FP
280830734,FP
278866211,FP
166739520,CP
183532609,CP
183537452,CP
183985250,PC
211438925,CP
230982885,CP
234519192,
441462736,CP
12421862,
309792357,
410214986,CP
350618622,
355509914,
259962054,
281781375,
281575427,
55650590,
260271203,FP
314865962,
52204645,
141608198,
300293197,FP
206609630,
234345288,
167415965,
231912935,
55652896,CP
55652896,CP
260043723,FP
32090583,
260609205,FP
150098860,
316937670,
144440290,
326453034,PC
70797900,
47525799,
47484268,FP
2760710,
77044471,CP
120610833,CP
160074939,
204376737,CP
402026209,CP
415969908,
12423815,
280095254,
9727392,FP
305048087,
9006668,
9725627,CP
101948569,
77031414,CP
120585579,FP
149010208,FP
118327550,
154618248,
158623531,CP
160148385,CP
201793781,
179985715,
184240683,CP
224225541,
237924601,
322063810,
49687222,
204317710,CP
92226327,CP
92226327,CP
200723869,
350445771,FP
12862099,CP
37749396,
63898957,
63898957,
70513361,PC
120916706,
122612091,CP
159951311,CP
164767175,
164767175,
166836920,CP
219253008,
220479565,
259377017,
259377017,
259377017,
259511357,
268766053,CP
279740441,FP
281979481,
373844472,FP
382188882,FP
439456714,
244161191,
122613513,
42054565,
38696105,
29781292,
29781292,
29781292,
382626661,
277103955,FP
220459976,
150030205,
2758565,
47316976,
201292545,
201233610,
49710555,
180285396,
355637190,
188570092,
327952677,CP
382463648,
115242351,
206686292,
156075294,
166697854,FP
144301052,
229111835,
145750719,CP
262530873,
102030574,
114749636,CP
9100874,
281710229,
228507250,
175477257,
434105231,
180145006,
9102327,
316769613,
66356824,
8988289,
402319411,
206352378,
389753172,FP
188593930,FP
175476629,FP
198077394,
251852984,
156002449,
66413476,
144336525,FP
206669860,
139357541,
169765334,
27966179,
262531275,
139285832,
224245334,
233964642,FP
41865539,
55452495,FP
155986102,
116156517,CP
69838258,FP
80439101,
33911302,
415969574,FP
66497310,
13023378,
308208458,
118327533,
224271611,
70785910,
382474101,FP
199731190,
228381868,CP
47423120,
100099031,
100097716,
183593642,
369336146,
220016044,
321982642,
80432617,
13023738,
144276942,
305048116,
262530780,
47425697,
118586896,
251878904,
9033144,FP
77031413,CP
175482273,
251855940,
156016136,
441075486,FP
9032368,
183675732,
280097543,
144301273,
139285736,FP
20892672,
220396259,FP
100014359,
207084429,FP
229091748,FP
167418898,
155995204,
300810086,PC
238059180,
92359850,FP
422655579,CP
271900960,FP
250386181,
382391899,CP
328350926,FP
29960109,
9858404,FP
38541473,FP
178155732,
178155732,
219379012,FP
1129033,CP
219388773,FP
35857242,CP
259701242,FP
120896927,PC
120896927,CP
257567854,CP
166833457,CP
176984236,FP
153065527,
349518800,FP
176778112,FP
167754523,FP
206466531,FP
100990000,
100990000,
7624182,FP
170634116,CP
325680697,FP
152476657,CP
49899799,FP
339733013,FP
178284730,CP
279251651,FP
408159788,FP
94986319,
117979455,
43647325,CP
117979694,
169532369,FP
189013224,
70914192,FP
117979850,
259592689,
459942762,FP
31374837,
31374837,
38686737,FP
188989177,
78055054,CP
44647437,
44745077,FP
32499655,CP
468880077,
13021029,CP
143350972,FP
316916655,FP
70899085,
117979897,CP
179034327,
14091704,FP
1449640,FP
14091633,FP
1528696,
139528693,CP
77951245,
257605131,
139733308,CP
452808876,CP
153077621,
98796344,
77228304,
89256802,
64071894,
38603673,FP
9804616,
4646810,
420049884,
176831592,
398733009,
270380593,CP
4616072,CP
20178111,FP
33521996,CP
33692729,
37770169,
47911178,CP
52280468,FP
52640302,CP
59843967,CP
100608026,
156987351,
170102285,CP
172464366,FP
306362738,CP
317548889,
339672028,
365639282,
393414358,CP
427348923,
427352241,FP
260708537,
31852980,
31852980,
452866790,
455096220,CP
455135327,CP
468987719,CP
17746821,CP
19025965,
19519368,
22529346,CP
88977253,FP
108645766,FP
121338379,FP
123702439,
134200185,
134537478,CP
172193428,
186812530,PC
219164808,
268644785,CP
274138511,FP
348538431,
425206121,CP
453211454,
238086647,
440777904,CP
119292328,
431999925,FP
366576758,CP
366622912,
318937509,FP
308307606,FP
264979636,
218795833,
148479278,
27649847,
19451711,
93125144,
365690646,
71512186,
200593988,
148228019,
403693875,FP
438490744,FP
387690507,
302895996,FP
144700903,
309791156,
281909674,CP
280210963,CP
234825296,CP
234112540,CP
237751146,
238004786,
200322593,
143271144,
49771092,
53593457,FP
50618703,
37168957,CP
36440357,CP
36352297,CP
42821097,CP
32830028,FP
311183180,
311183180,
192826603,CP
44737596,
161477033,FP
161477033,
161477033,
407966340,
170849515,
59003115,
55488511,
207110080,
209459275,
101011575,
377064495,
377064495,
377064495,
413248763,
405454160,
1003831,
1103432,FP
1133072,FP
13349647,CP
37575651,PC
123482865,PC
126733133,
270468559,CP
289535142,FP
296780789,
315002523,CP
386435344,
408310006,CP
410094645,FP
423275733,CP
238061845,
81419525,
180987952,
287474726,
131743355,
74482749,
190990336,FP
131979339,
294090620,FP
130415266,
412961700,
270841724,
146261607,FP
196286587,FP
128463355,
146406806,
287329267,
144956678,
146208651,FP
81429971,
145982812,FP
134396419,
141363913,
175176327,
262746281,
145027461,
181304295,
122262940,FP
153651591,
186547153,FP
134404603,
80275202,FP
154459165,
284738182,
77527511,
118021229,
190496853,
145879095,
141227133,
173640199,
267527924,FP
296739893,
30828562,FP
83092282,
101395259,FP
399870368,CP
379929661,CP
